Designator,Mid X,Mid Y,Rotation,Layer
C1,42.78,-33.85,180.0,bottom
C10,71.53,-56.16,0.0,bottom
C11,90.58,-56.16,0.0,bottom
C12,109.63,-56.16,0.0,bottom
C13,128.68,-56.16,0.0,bottom
C14,147.73,-56.16,0.0,bottom
C15,166.78,-56.16,0.0,bottom
C16,47.5425,-76.7125,180.0,bottom
C17,71.355,-76.7125,180.0,bottom
C18,90.405,-76.7125,180.0,bottom
C19,109.455,-76.7125,180.0,bottom
C2,66.5925,-33.85,180.0,bottom
C20,128.505,-76.7125,180.0,bottom
C21,147.555,-76.7125,180.0,bottom
C22,166.605,-76.7125,180.0,bottom
C23,40.56625,-94.25,0.0,bottom
C24,66.76,-94.25,0.0,bottom
C25,85.81,-94.25,0.0,bottom
C26,104.86,-94.25,0.0,bottom
C27,123.91,-94.25,0.0,bottom
C28,142.96,-94.25,0.0,bottom
C29,162.01,-94.25,0.0,bottom
C3,85.6425,-33.85,180.0,bottom
C30,54.68625,-114.8125,180.0,bottom
C31,85.6425,-114.8125,180.0,bottom
C32,104.6925,-114.8125,180.0,bottom
C33,123.7425,-114.8125,180.0,bottom
C34,142.7925,-114.8125,180.0,bottom
C35,161.8425,-114.8125,180.0,bottom
C36,35.8,-132.36,0.0,bottom
C37,57.23125,-132.36,0.0,bottom
C38,78.6625,-132.36,0.0,bottom
C39,131.05,-141.885,0.0,bottom
C4,104.6925,-33.85,180.0,bottom
C40,162.00625,-141.885,0.0,bottom
C41,135.9,-41.6,90.0,bottom
C42,130.0,-29.25,90.0,top
C43,99.275,-150.675,270.0,top
C5,123.7425,-33.85,180.0,bottom
C6,152.3175,-33.85,180.0,bottom
C7,171.3675,-33.85,180.0,bottom
C8,33.41,-56.17,0.0,bottom
C9,52.48,-56.16,0.0,bottom
D1,32.3,-45.4,0.0,bottom
D10,70.4,-69.2125,0.0,bottom
D11,89.45,-69.2125,0.0,bottom
D12,108.5,-69.2125,0.0,bottom
D13,127.55,-69.2125,0.0,bottom
D14,146.6,-69.2125,0.0,bottom
D15,165.65,-69.2125,0.0,bottom
D16,37.0625,-88.2625,0.0,bottom
D17,60.875,-88.2625,0.0,bottom
D18,79.925,-88.2625,0.0,bottom
D19,98.975,-88.2625,0.0,bottom
D2,56.1125,-45.4,0.0,bottom
D20,118.025,-88.2625,0.0,bottom
D21,137.075,-88.2625,0.0,bottom
D22,156.125,-88.2625,0.0,bottom
D23,39.44375,-107.3125,0.0,bottom
D24,65.6375,-107.3125,0.0,bottom
D25,84.6875,-107.3125,0.0,bottom
D26,103.7375,-107.3125,0.0,bottom
D27,122.7875,-107.3125,0.0,bottom
D28,141.8375,-107.3125,0.0,bottom
D29,160.8875,-107.3125,0.0,bottom
D3,75.1625,-45.4,0.0,bottom
D30,44.20625,-126.3625,0.0,bottom
D31,75.1625,-126.3625,0.0,bottom
D32,94.2125,-126.3625,0.0,bottom
D33,113.2625,-126.3625,0.0,bottom
D34,132.3125,-126.3625,0.0,bottom
D35,151.3625,-126.3625,0.0,bottom
D36,34.68125,-145.4125,0.0,bottom
D37,56.1125,-145.4125,0.0,bottom
D38,77.54375,-145.4125,0.0,bottom
D39,129.93125,-154.9375,0.0,bottom
D4,94.2125,-45.4,0.0,bottom
D40,160.8875,-154.9375,0.0,bottom
D5,113.2625,-45.4,0.0,bottom
D6,141.8375,-45.4,0.0,bottom
D7,160.8875,-45.4,0.0,bottom
D8,32.3,-69.2125,0.0,bottom
D9,51.35,-69.2125,0.0,bottom
F1,60.0,-28.75,180.0,bottom
J1,50.0,-43.25,270.0,top
J2,115.0,-133.5,180.0,top
J3,65.85,-153.35,0.0,top
LED1,38.1,-33.1,180.0,bottom
LED10,76.2,-56.9125,0.0,bottom
LED11,95.25,-56.9125,0.0,bottom
LED12,114.3,-56.9125,0.0,bottom
LED13,133.35,-56.9125,0.0,bottom
LED14,152.4,-56.9125,0.0,bottom
LED15,171.45,-56.9125,0.0,bottom
LED16,42.8625,-75.9625,180.0,bottom
LED17,66.675,-75.9625,180.0,bottom
LED18,85.725,-75.9625,180.0,bottom
LED19,104.775,-75.9625,180.0,bottom
LED2,61.9125,-33.1,180.0,bottom
LED20,123.825,-75.9625,180.0,bottom
LED21,142.875,-75.9625,180.0,bottom
LED22,161.925,-75.9625,180.0,bottom
LED23,45.24375,-95.0125,0.0,bottom
LED24,71.4375,-95.0125,0.0,bottom
LED25,90.4875,-95.0125,0.0,bottom
LED26,109.5375,-95.0125,0.0,bottom
LED27,128.5875,-95.0125,0.0,bottom
LED28,147.6375,-95.0125,0.0,bottom
LED29,166.6875,-95.0125,0.0,bottom
LED3,80.9625,-33.1,180.0,bottom
LED30,50.00625,-114.0625,180.0,bottom
LED31,80.9625,-114.0625,180.0,bottom
LED32,100.0125,-114.0625,180.0,bottom
LED33,119.0625,-114.0625,180.0,bottom
LED34,138.1125,-114.0625,180.0,bottom
LED35,157.1625,-114.0625,180.0,bottom
LED36,40.48125,-133.1125,0.0,bottom
LED37,61.9125,-133.1125,0.0,bottom
LED38,83.34375,-133.1125,0.0,bottom
LED39,135.73125,-142.6375,0.0,bottom
LED4,100.0125,-33.1,180.0,bottom
LED40,166.6875,-142.6375,0.0,bottom
LED5,119.0625,-33.1,180.0,bottom
LED6,147.6375,-33.1,180.0,bottom
LED7,166.6875,-33.1,180.0,bottom
LED8,38.1,-56.9125,0.0,bottom
LED9,57.15,-56.9125,0.0,bottom
MX1,38.1,-38.1,180.0,bottom
MX10,76.2,-61.9125,180.0,bottom
MX11,95.25,-61.9125,180.0,bottom
MX12,114.3,-61.9125,180.0,bottom
MX13,133.35,-61.9125,180.0,bottom
MX14,152.4,-61.9125,180.0,bottom
MX15,171.45,-61.9125,180.0,bottom
MX16,42.8625,-80.9625,180.0,bottom
MX17,66.675,-80.9625,180.0,bottom
MX18,85.725,-80.9625,180.0,bottom
MX19,104.775,-80.9625,180.0,bottom
MX2,61.9125,-38.1,180.0,bottom
MX20,123.825,-80.9625,180.0,bottom
MX21,142.875,-80.9625,180.0,bottom
MX22,161.925,-80.9625,180.0,bottom
MX23,45.24375,-100.0125,180.0,bottom
MX24,71.4375,-100.0125,180.0,bottom
MX25,90.4875,-100.0125,180.0,bottom
MX26,109.5375,-100.0125,180.0,bottom
MX27,128.5875,-100.0125,180.0,bottom
MX28,147.6375,-100.0125,180.0,bottom
MX29,166.6875,-100.0125,180.0,bottom
MX3,80.9625,-38.1,180.0,bottom
MX30,50.00625,-119.0625,180.0,bottom
MX31,80.9625,-119.0625,180.0,bottom
MX32,100.0125,-119.0625,180.0,bottom
MX33,119.0625,-119.0625,180.0,bottom
MX34,138.1125,-119.0625,180.0,bottom
MX35,157.1625,-119.0625,180.0,bottom
MX36,40.48125,-138.1125,180.0,bottom
MX37,61.9125,-138.1125,180.0,bottom
MX38,83.34375,-138.1125,180.0,bottom
MX39,135.73125,-147.6375,180.0,bottom
MX4,100.0125,-38.1,180.0,bottom
MX40,166.6875,-147.6375,180.0,bottom
